ID,componentindex,CF_kingdom,CF_MFramework,CF_superclass,CF_class,CF_subclass,CF_Dparent,Compound_Name,feature
52154,324,Organic compounds,Aliphatic homopolycyclic compounds,Lipids and lipid-like molecules,Organooxygen compounds,Carbonyl compounds,Cyclohexenones,,52154
52155,324,Organic compounds,Aliphatic homopolycyclic compounds,Lipids and lipid-like molecules,Organooxygen compounds,Carbonyl compounds,Cyclohexenones,,52155
52158,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52158
52159,1463,Organic compounds,Aromatic heteromonocyclic compounds,Organoheterocyclic compounds,Organooxygen compounds,Carbonyl compounds,Cyclohexenones,,52159
52160,1705,Organic compounds,Aromatic homomonocyclic compounds,Benzenoids,Benzene and substituted derivatives,,Benzoic acid esters,,52160
52161,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52161
52167,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52167
52168,324,Organic compounds,Aliphatic homopolycyclic compounds,Lipids and lipid-like molecules,Organooxygen compounds,Carbonyl compounds,Cyclohexenones,,52168
52169,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52169
52170,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52170
52171,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52171
52174,1887,Organic compounds,Aliphatic heteropolycyclic compounds,Organoheterocyclic compounds,Organooxygen compounds,,Cyclohexenones,,52174
52175,270,Organic compounds,Aromatic heteropolycyclic compounds,Lipids and lipid-like molecules,Prenol lipids,,Long-chain fatty acids,,52175
52176,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52176
52177,1463,Organic compounds,Aromatic heteromonocyclic compounds,Organoheterocyclic compounds,Organooxygen compounds,Carbonyl compounds,Cyclohexenones,,52177
52178,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52178
52179,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52179
52192,85,Organic compounds,Aliphatic acyclic compounds,Lipids and lipid-like molecules,Fatty Acyls,,Orthocarboxylic acid derivatives,Spectral Match to Palmitelaidic acid from NIST14,52192
52195,379,Organic compounds,Aromatic heteropolycyclic compounds,Lipids and lipid-like molecules,Prenol lipids,,Macrolactams,,52195
52196,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52196
52202,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52202
52204,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52204
52212,64,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Tetralins,,52212
52213,324,Organic compounds,Aliphatic homopolycyclic compounds,Lipids and lipid-like molecules,Organooxygen compounds,Carbonyl compounds,Cyclohexenones,,52213
52216,379,Organic compounds,Aromatic heteropolycyclic compounds,Lipids and lipid-like molecules,Prenol lipids,,Macrolactams,,52216
52217,379,Organic compounds,Aromatic heteropolycyclic compounds,Lipids and lipid-like molecules,Prenol lipids,,Macrolactams,,52217
52219,379,Organic compounds,Aromatic heteropolycyclic compounds,Lipids and lipid-like molecules,Prenol lipids,,Macrolactams,,52219
52226,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52226
52275,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52275
52276,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52276
52279,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52279
52283,1337,no matches,no matches,no matches,no matches,no matches,no matches,,52283
52288,1709,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Benzimidazoles,Phenylbenzimidazoles,Phenylbenzimidazoles,,52288
52289,80,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Imidazopyridines,,52289
52290,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52290
52291,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52291
52308,80,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Imidazopyridines,,52308
52310,1293,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Imidazopyridines,,Imidazopyridines,,52310
52311,1764,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Hydroxy acids and derivatives,Imidazoles,Phenylimidazoles,,52311
52312,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52312
52313,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52313
52314,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52314
52315,80,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Imidazopyridines,,52315
52316,1795,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Imidazopyridines,,Imidazopyridines,,52316
52319,304,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Quinolines and derivatives,,Hydroquinolones,,52319
52320,80,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Imidazopyridines,,52320
52325,80,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Imidazopyridines,,52325
52329,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52329
52330,80,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Imidazopyridines,,52330
52331,80,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Imidazopyridines,,52331
52332,1293,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Imidazopyridines,,Imidazopyridines,,52332
