ID,MachineBlk1,MachineBlk2,MachineBlk3,Synbiotics-T01_F02,Synbiotics-T01_F02_2,Synbiotics-T01_F07,Synbiotics-T01_F07_2,Synbiotics-T01_F08,Synbiotics-T01_F08_2,Synbiotics-T01_F17,Synbiotics-T01_F17_2,Synbiotics-T01_F19,Synbiotics-T01_F19_2,Synbiotics-T01_F20,Synbiotics-T01_F20_2,Synbiotics-T01_F28,Synbiotics-T01_F28_2,Synbiotics-T01_F31,Synbiotics-T01_F31_2,Synbiotics-T01_F35,Synbiotics-T01_F35_2,Synbiotics-T01_F39,Synbiotics-T01_F39_2,Control-T01_F01,Control-T01_F04,Control-T01_F05,Control-T01_F11,Control-T01_F15,Control-T01_F17,Control-T01_F23,Control-T01_F26,Control-T01_F33,Control-T01_F38,Control-T01_F01_2,Control-T01_F04_2,Control-T01_F05_2,Control-T01_F11_2,Control-T01_F15_2,Control-T01_F17_2,Control-T01_F23_2,Control-T01_F26_2,Control-T01_F33_2,Control-T01_F38_2,Probiotics-T01_F01,Probiotics-T01_F01_2,Probiotics-T01_F02,Probiotics-T01_F02_2,Probiotics-T01_F09,Probiotics-T01_F09_2,Probiotics-T01_F12,Probiotics-T01_F12_2,Probiotics-T01_F17,Probiotics-T01_F17_2,Probiotics-T01_F22,Probiotics-T01_F22_2,Probiotics-T01_F31,Probiotics-T01_F31_2,Probiotics-T01_F33,Probiotics-T01_F33_2,Probiotics-T01_F35,Probiotics-T01_F35_2,Probiotics-T01_F37,Probiotics-T01_F37_2,P_Blk_01,P_Blk_01_20190824233514,P_Blk_02,P_Blk_02_20190824132314,QC04,QC05,QC06,QC07,QC08,QC09,QC10,QC11,QC12-1,QC12-2,QC13-1,QC13-2,QC13-3
46888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4746730,3388660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75036,0,0,0,7792200,37743100,0,0,12999200,8790530,0,0,0,0,0,3943340,8860330,0,12631000,11942700,6041700,0,0,0,43632100,0,29509700,21472400,0,21066000,0,0,0,0,21025600,12069400,13579500,10017800,0,14172500,19707900,0,0,9647100,17543590,24134030,7830350,21039180,45555500,9144440,0,0,0,0,8800950,10710700,0,0,0,0,0,13633000,0,0,0,0,0,0,0,0,0,0,46222500,0,0,9032110,0,0,0,0,0
91446,0,0,0,0,0,5419950,0,0,0,0,0,0,0,0,0,26145300,0,0,0,2024120,0,0,0,0,0,3261940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28046800,0,0,32846000,0,30239700,0,0,0,0,0,0,0,5162750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6589420,9062520,0,0,0,0,0,0,0,0,0,0,6032990,0,0,0,0,0,0,0,0,0,0,0,0,4503560,0,0,10546100,0,0,0,0,0,0,0,0,11251800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2443820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3455330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97951,0,0,9507820,0,134690000,198919000,202992900,0,139311000,135556000,269780000,142011700,89596100,139361700,132958000,166202600,97096100,163701220,124384200,123391600,32323200,627325000,51574700,117007600,92718800,336961800,157157000,0,168362000,60530100,250657000,131026000,122598000,0,77681400,0,152284400,23192200,99465100,56080970,57252300,0,0,49579900,145459000,87539400,64551880,243345900,708827400,152106000,81756700,87916300,303956000,157668000,177663600,140320000,89546100,91207300,62360800,193542900,354899100,148425000,104418700,0,0,0,0,0,85905300,203964600,153212500,154386450,120016000,87278650,70929200,162916500,51767800,159760700,206081800,43429900
142198,0,0,0,0,0,0,0,609391,0,0,0,12834100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12214200,0,0,0,720379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120253,0,0,0,3109180,0,4754410,3626280,5961440,5333680,0,10749400,0,0,0,0,0,3247930,0,0,0,0,0,6166230,0,0,0,0,0,9592120,8977500,0,0,0,0,0,0,0,6603810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5199140,0,5586250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9694030
73924,0,0,0,0,0,0,0,0,0,0,0,0,0,3893840,0,0,3521450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1589380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411070,0,0,0,0
120255,0,0,0,0,2011650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700980,0,0,1254500,0,0,1226630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1539400,0,1764020,0,0,0,0,0,0,0
18979,0,0,0,2193960,0,0,0,0,0,0,0,0,4753480,3985240,0,2078790,7585580,0,0,2762890,3369550,4100620,3949550,0,0,0,0,0,13610670,2095930,3691140,0,0,0,0,0,0,0,0,0,0,7167340,0,0,0,0,0,0,2769490,0,0,0,0,0,0,0,0,0,0,0,0,0,1926260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7918560,3079900,0
32804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2486530,0,2655300,0,0,0,0,0,0,0,0,0,0,0,0,2497350,0,0,0,0,0,0,4629420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1359150,0,1453280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144351,0,0,0,0,0,3330190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4949650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
